track	start	end	label
NeeArulayoTaye-Bhairavi-KPP-SV	04.47	04.49	rgmg
NeeArulayoTaye-Bhairavi-KPP-SV	04.49	04.50	grs
NeeArulayoTaye-Bhairavi-KPP-SV	04.50	04.52	rpm
NeeArulayoTaye-Bhairavi-KPP-SV	04.52	04.53	grs
NeeArulayoTaye-Bhairavi-KPP-SV	04.53	04.54	ndp
NeeArulayoTaye-Bhairavi-KPP-SV	04.54	04.56	grs
NeeArulayoTaye-Bhairavi-KPP-SV	04.55	04.57	rgmpd
NeeArulayoTaye-Bhairavi-KPP-SV	04.58	05.00	pmgm
NeeArulayoTaye-Bhairavi-KPP-SV	04.58	05.00	mgm
NeeArulayoTaye-Bhairavi-KPP-SV	05.00	05.02	mgrg
NeeArulayoTaye-Bhairavi-KPP-SV	05.02	05.04	grs
NeeArulayoTaye-Bhairavi-KPP-SV	05.02	05.04	grsr
NeeArulayoTaye-Bhairavi-KPP-SV	05.04	05.06	rsns
NeeArulayoTaye-Bhairavi-KPP-SV	05.06	05.08	rgmpd'n
NeeArulayoTaye-Bhairavi-KPP-SV	05.06	05.09	rgmpd'ns
NeeArulayoTaye-Bhairavi-KPP-SV	05.07	05.09	d'ns
NeeArulayoTaye-Bhairavi-KPP-SV	05.08	05.10	srg
NeeArulayoTaye-Bhairavi-KPP-SV	05.08	05.10	srgn
NeeArulayoTaye-Bhairavi-KPP-SV	05.10	05.12	srpdn
NeeArulayoTaye-Bhairavi-KPP-SV	05.10	05.12	pdn
NeeArulayoTaye-Bhairavi-KPP-SV	05.12	05.13	rgm
NeeArulayoTaye-Bhairavi-KPP-SV	05.14	05.15	srg
NeeArulayoTaye-Bhairavi-KPP-SV	05.16	05.18	grsn
NeeArulayoTaye-Bhairavi-KPP-SV	05.16	05.18	grs
NeeArulayoTaye-Bhairavi-KPP-SV	05.16	05.19	ndpm

MatheAvarSeitha-Bhairavi-GKI-SN	00.05	00.06	d'ns
MatheAvarSeitha-Bhairavi-GKI-SN	00.07	00.09	ndp
MatheAvarSeitha-Bhairavi-GKI-SN	00.07	00.09	srsnndp
MatheAvarSeitha-Bhairavi-GKI-SN	00.07	00.09	srs
